序號,英文名稱,中文名稱,中國大陸譯名,來源網站
214,fiber-optic communications,光纖通訊,光纤通信,https://terms.naer.edu.tw/
215,field effect transistor｛=FET｝,場效[應]電晶體,场效应晶体管,https://terms.naer.edu.tw/
216,filter,濾器；濾波器；濾光片；濾光鏡；過濾；濾清,滤波器,https://terms.naer.edu.tw/
217,first cosmic velocity,第一宇宙速度,第一宇宙速度,https://terms.naer.edu.tw/
218,fission,[核]分裂；[核]裂變,裂变,https://terms.naer.edu.tw/
219,fluid,流體；流質,流体,https://terms.naer.edu.tw/
220,fluid mechanics,流體力學,流体力学,https://terms.naer.edu.tw/
221,fluorescence,螢光,荧光,https://terms.naer.edu.tw/
222,fluorescent lamp,螢光燈；日光燈,日光灯,https://terms.naer.edu.tw/
223,focal power,焦度；倒焦距,光焦度,https://terms.naer.edu.tw/
224,force,力,力,https://terms.naer.edu.tw/
225,forced vibration,強制振動,受迫振动,https://terms.naer.edu.tw/
226,Franck-Hertz experiment,法蘭克-赫茲實驗,弗兰克-赫兹实验,https://terms.naer.edu.tw/
227,Fraunhofer diffraction,夫朗和斐繞射,夫琅禾费衍射,https://terms.naer.edu.tw/
228,free vibration,自由振動,自由振动,https://terms.naer.edu.tw/
229,Fresnel bimirror,菲涅耳雙鏡,菲涅耳双镜,https://terms.naer.edu.tw/
230,Fresnel diffraction,菲涅耳繞射,菲涅耳衍射,https://terms.naer.edu.tw/
231,Fresnel formula,菲涅耳公式,菲涅耳公式,https://terms.naer.edu.tw/
232,friction,摩擦；摩擦力；阻[力],摩擦,https://terms.naer.edu.tw/
233,fuel cell,燃料電池,燃料电池,https://terms.naer.edu.tw/
234,fusion,核融合；熔化；[核]聚變,熔化,https://terms.naer.edu.tw/
235,Galilean transformation,伽利略轉換,伽利略变换,https://terms.naer.edu.tw/
236,gamma-ray,γ射線,γ射线,https://terms.naer.edu.tw/
237,gas discharge,氣體放電,气体放电,https://terms.naer.edu.tw/
238,gas laser,氣體雷射,气体激光器,https://terms.naer.edu.tw/
239,gaseous discharge lamp,氣體放電燈,气体放电灯,https://terms.naer.edu.tw/
240,gate,閘,门电路,https://terms.naer.edu.tw/
241,gate circuit,閘電路,门电路,https://terms.naer.edu.tw/
242,gating circuit,閘控電路,门电路,https://terms.naer.edu.tw/
243,Gauss theorem,高斯定理,高斯定理,https://terms.naer.edu.tw/
244,Gay-Lussac law,給呂薩克定律,盖-吕萨克定律,https://terms.naer.edu.tw/
245,Geiger-Müller counter,蓋革-繆勒計數器,盖革-弥勒计数器,https://terms.naer.edu.tw/
246,general relativity,廣義相對論,广义相对论,https://terms.naer.edu.tw/
247,generator,發電機；發生器,发电机,https://terms.naer.edu.tw/
248,geocentic theory,地心[學]說,地心说,https://terms.naer.edu.tw/
249,geomagnetic field,地磁場,地磁场,https://terms.naer.edu.tw/
250,geostationary satellite orbit,定置衛星軌道,地球静止卫星轨道,https://terms.naer.edu.tw/
251,geosynchronous orbit,環地同步軌道,地球同步轨道,https://terms.naer.edu.tw/
252,global positioning system｛=GPS｝,全球定位系統,全球卫星定位系统,https://terms.naer.edu.tw/
253,glow discharge,輝光放電,辉光放电,https://terms.naer.edu.tw/
254,gravitational field,重力場,引力场,https://terms.naer.edu.tw/
255,gravitational mass,重力質量,引力质量,https://terms.naer.edu.tw/
256,gravitational potential energy,重力位能；重力勢能,引力势能,https://terms.naer.edu.tw/
257,gravity,重力,重力,https://terms.naer.edu.tw/
258,gravity potential energy,重力位能；重力勢能,重力势能,https://terms.naer.edu.tw/
259,ground,接地,接地,https://terms.naer.edu.tw/
260,ground wave,地[面電]波,地波,https://terms.naer.edu.tw/
261,grounding,接地,接地,https://terms.naer.edu.tw/
262,half-wave loss,半波耗損,半波损失,https://terms.naer.edu.tw/
263,Hall effect,霍爾效應,霍尔效应,https://terms.naer.edu.tw/
264,hall element,霍耳元件,霍尔元件,https://terms.naer.edu.tw/
265,hard magnetic material,硬磁材料,硬磁材料,https://terms.naer.edu.tw/
266,hardware,硬體,硬件,https://terms.naer.edu.tw/
267,heliocentric theory,日心[學]說,日心说,https://terms.naer.edu.tw/
268,helix,螺旋[線],螺旋,https://terms.naer.edu.tw/
269,high pressure mercury lamp,高壓水銀燈；高壓汞燈,高压汞灯,https://terms.naer.edu.tw/
270,holograph,全相；全像,全息照相,https://terms.naer.edu.tw/
271,Hooke law,虎克定律,胡克定律,https://terms.naer.edu.tw/
272,Hubble space telescope｛=HST ｝,哈伯太空望遠鏡,哈勃望远镜,https://terms.naer.edu.tw/
273,Huygens-Fresnel principle,惠更斯-菲涅耳原理,惠更斯-菲涅耳原理,https://terms.naer.edu.tw/
274,hydrogen bomb,氫彈,氢弹,https://terms.naer.edu.tw/
275,hydrostatic pressure,靜液壓[力],流体的静压强,https://terms.naer.edu.tw/
276,hyperon,超子,超子,https://terms.naer.edu.tw/
277,IC card,IC卡,IC卡,https://terms.naer.edu.tw/
278,ideal fluid,理想流體,理想流体,https://terms.naer.edu.tw/
279,ideal gas,理想氣體,理想气体,https://terms.naer.edu.tw/
280,ideal gas equation of state,理想氣體狀態方程,理想气体状态方程,https://terms.naer.edu.tw/
281,illuminance,照[明]度,光照度,https://terms.naer.edu.tw/
282,impedance,阻抗,阻抗,https://terms.naer.edu.tw/
283,impedance matching,阻抗匹配,阻抗匹配,https://terms.naer.edu.tw/
284,impulse,衝量；脈衝,冲量,https://terms.naer.edu.tw/
285,incandescent lamp,白熾燈,白炽灯,https://terms.naer.edu.tw/
286,inclined plane,斜面,斜面,https://terms.naer.edu.tw/
287,induction coil,感應[線]圈,感应圈,https://terms.naer.edu.tw/
288,induction current,感應電流,感应电流,https://terms.naer.edu.tw/
289,induction electromotive force,感應電動勢,感应电动势,https://terms.naer.edu.tw/
290,inductive reactance,[有]感[電]抗,感抗,https://terms.naer.edu.tw/
291,inertia,慣性；慣量,惯性,https://terms.naer.edu.tw/
292,"inertial [reference] frame,",慣性[參考]系,惯性参考系,https://terms.naer.edu.tw/
293,inertial [reference] system,慣性[參考]系,惯性参考系,https://terms.naer.edu.tw/
294,inertial centrifugal force,慣性離心力,惯性离心力,https://terms.naer.edu.tw/
295,inertial force,慣性力,惯性力,https://terms.naer.edu.tw/
296,inertial mass,慣性質量,惯性质量,https://terms.naer.edu.tw/
297,infrasonic wave,次声波,次声波,https://terms.naer.edu.tw/
298,input resistance,輸入電阻,输入电阻,https://terms.naer.edu.tw/
299,instantaneous velocity,瞬時速度,瞬时速度,https://terms.naer.edu.tw/
300,insulator,絕緣體,绝缘体,https://terms.naer.edu.tw/
301,integrated circuit｛=IC｝,積體電路,集成电路,https://terms.naer.edu.tw/
302,intensity,強度,光亮度,https://terms.naer.edu.tw/
303,intensity of sound,聲強[度],声强,https://terms.naer.edu.tw/
304,interference of light,光干涉,光的干涉,https://terms.naer.edu.tw/
305,intermolecular force,分子間力,分子间力,https://terms.naer.edu.tw/
306,internal energy,內能,内能,https://terms.naer.edu.tw/
307,internal force,內力,内力,https://terms.naer.edu.tw/
308,internal photoelectric effect,內光電效應,内光电效应,https://terms.naer.edu.tw/
309,international system of units｛=SI｝,國際單位制,国际单位制,https://terms.naer.edu.tw/
310,internet,網際網路；互聯網,因特网,https://terms.naer.edu.tw/
311,intrinsic semiconductor,本質半導體,本征半导体,https://terms.naer.edu.tw/
312,introscope,內視鏡,内窥镜,https://terms.naer.edu.tw/
313,ionization chamber,游離室,电离室,https://terms.naer.edu.tw/
314,ionosphere,電離層，游離層,电离层,https://terms.naer.edu.tw/
315,isobaric spin,同位[自]旋,同位旋,https://terms.naer.edu.tw/
316,isospin,同位[自]旋,同位旋,https://terms.naer.edu.tw/
317,isotopic spin,同位[自]旋,同位旋,https://terms.naer.edu.tw/
318,Joule law,焦耳定律,焦耳定律,https://terms.naer.edu.tw/
319,Kepler,克卜勒,开普勒,https://terms.naer.edu.tw/
320,Kepler law,克卜勒定律,开普勒定律,https://terms.naer.edu.tw/
321,kinescope,[電子]顯像管,显象管,https://terms.naer.edu.tw/
322,kinetic energy,動能,动能,https://terms.naer.edu.tw/
323,kinetic theory of gases｛=gas kinetics｝,氣體運動論,气体动理论,https://terms.naer.edu.tw/
324,Kirchhoff equations,克希何夫方程式,基尔霍夫方程组,https://terms.naer.edu.tw/
325,laminar flow,層流,层流,https://terms.naer.edu.tw/
326,laser,雷射；激光,激光,https://terms.naer.edu.tw/
327,laser amplifier,雷射放大器,激光放大器,https://terms.naer.edu.tw/
328,laser range finder,雷射測距儀,激光测距仪,https://terms.naer.edu.tw/
329,law of conservation of angular momentum,角動量守恆定律,角动量守恒定律,https://terms.naer.edu.tw/
330,law of conservation of charge,電荷守恆定律,电荷守恒定律,https://terms.naer.edu.tw/
331,law of conservation of mechanical energy,力學能守恆定律,机械能守恒定律,https://terms.naer.edu.tw/
332,law of conservation of momentum,動量守恆律,动量守恒定律,https://terms.naer.edu.tw/
333,law of inertia,慣性定律,惯性定律,https://terms.naer.edu.tw/
334,law of universal gravitation,萬有引力定律,万有引力定律,https://terms.naer.edu.tw/
335,laws of thermodynamics,熱力學定律,热力学定律,https://terms.naer.edu.tw/
336,lead accumulator,鉛蓄電池,铅蓄电池,https://terms.naer.edu.tw/
337,length,長度,长度,https://terms.naer.edu.tw/
338,lens,透鏡,透镜,https://terms.naer.edu.tw/
339,Lenz law,冷次定律,楞次定律,https://terms.naer.edu.tw/
340,lepton,輕子,轻子,https://terms.naer.edu.tw/
341,level,[能]階；級；水平面；水平器,电平,https://terms.naer.edu.tw/
342,lever,槓桿,杠杆,https://terms.naer.edu.tw/
343,Leyden jar,來登瓶,莱顿瓶,https://terms.naer.edu.tw/
344,light,光,光,https://terms.naer.edu.tw/
345,light absorption,光吸收,光的吸收,https://terms.naer.edu.tw/
346,"light spectrum,",光譜,光谱,https://terms.naer.edu.tw/
347,light-emitting diode｛=LED｝,發光二極體,发光二极管,https://terms.naer.edu.tw/
348,linac,直線[電子]加速器,直线加速器,https://terms.naer.edu.tw/
349,linear accelerator,直線[電子]加速器,直线加速器,https://terms.naer.edu.tw/
350,linear motor,線性電動機；線性馬達；直線電動機,直线电动机,https://terms.naer.edu.tw/
351,liquefaction,液化,液化,https://terms.naer.edu.tw/
352,liquid crystal,液晶；液態晶體,液晶,https://terms.naer.edu.tw/
353,liquid drop model,液滴模型,液滴模型,https://terms.naer.edu.tw/
354,liquid laser,液體雷射,液体激光器,https://terms.naer.edu.tw/
355,lithium cell,鋰電池,锂电池,https://terms.naer.edu.tw/
356,Lloyd mirror,勞埃鏡,劳埃德镜,https://terms.naer.edu.tw/
357,logical circuit,邏輯電路,逻辑电路,https://terms.naer.edu.tw/
358,Lorentz force,勞侖茲力,洛伦兹力,https://terms.naer.edu.tw/
359,Lorentz transformation,勞侖茲轉換,洛伦兹变换,https://terms.naer.edu.tw/
360,loudness,響度,响度,https://terms.naer.edu.tw/
361,loudspeaker,揚聲器；擴音器,扬声器,https://terms.naer.edu.tw/
362,luminance,光亮度,光亮度,https://terms.naer.edu.tw/
363,luminous flux,光通量,光通量,https://terms.naer.edu.tw/
364,luminous intensity,光強度,发光强度,https://terms.naer.edu.tw/
365,maglev train  ,磁浮列車,磁浮列车,https://terms.naer.edu.tw/
366,magnet,磁體；磁鐵,磁体,https://terms.naer.edu.tw/
367,magnetic card,磁卡,磁卡,https://terms.naer.edu.tw/
368,magnetic circuit,磁[迴]路,磁路,https://terms.naer.edu.tw/
369,magnetic domain,磁域,磁畴,https://terms.naer.edu.tw/
370,magnetic energy density,磁能密度,磁能密度,https://terms.naer.edu.tw/
371,magnetic field,磁場,磁场,https://terms.naer.edu.tw/
372,magnetic field intensity,磁場強度,磁场强度,https://terms.naer.edu.tw/
373,magnetic field strength,磁場強度,磁场强度,https://terms.naer.edu.tw/
374,magnetic flux,磁通量,磁通量,https://terms.naer.edu.tw/
375,magnetic flux linkage,磁通量鏈,磁链,https://terms.naer.edu.tw/
376,magnetic focusing,磁聚焦,磁聚焦,https://terms.naer.edu.tw/
377,magnetic induction,磁感應；磁感應強度,磁感应强度,https://terms.naer.edu.tw/
378,magnetic medium,磁介質,磁介质,https://terms.naer.edu.tw/
379,magnetic moment,磁矩,磁矩,https://terms.naer.edu.tw/
380,magnetic permeability,磁導率,磁导率,https://terms.naer.edu.tw/
381,magnetic recording,磁[性]記錄,磁纪录,https://terms.naer.edu.tw/
382,magnetic shielding,磁屏蔽,磁屏蔽,https://terms.naer.edu.tw/
383,magnetic suspension train,磁浮列車,磁浮列车,https://terms.naer.edu.tw/
384,magnetic susptibility,磁化率,磁化率,https://terms.naer.edu.tw/
385,magnetization,磁化；磁化強度,磁化,https://terms.naer.edu.tw/
386,magnetohydrodynamic generator,磁流體發電機,磁流体发电机,https://terms.naer.edu.tw/
